ID,Review_Text,Avg_Historical_Rating,Sentiment_Score,Sentiment_Label
22129,Respons admin lambat dan informasi kurang jelas. Debitis quidem quidem laborum.,3.45,-0.55,negatif
76850,"Pelayanan cepat dan ramah, pesanan selalu tepat. Reiciendis facere inventore placeat.",4.29,0.8,positif
63848,"Pelayanan standar, masih bisa ditingkatkan. Enim blanditiis minus tenetur.",3.83,0.0,netral
124751,Kadang stok kosong saat jam ramai. Cum fuga eaque natus voluptatibus quas itaque.,3.92,0.0,netral
24218,"Produk cukup baik, kadang waktu tunggu agak lama. Dolores facere est optio temporibus non.",4.56,0.0,netral
1426,"Produk cukup baik, kadang waktu tunggu agak lama. Voluptatum quod quasi molestias recusandae corrupti ut.",3.48,0.0,netral
131162,"Harga dan kualitas seimbang, pengalaman biasa saja. Suscipit possimus qui odio dolore voluptatem.",4.04,0.0,netral
51220,"Sudah beberapa kali order, pengalaman makin menurun. Reprehenderit cumque modi distinctio quia voluptates.",3.02,-0.3,negatif
66274,"Pengiriman cepat, admin komunikatif. Aspernatur dolores assumenda.",4.48,0.55,positif
24012,Kadang stok kosong saat jam ramai. Sequi optio harum quo consequuntur.,4.06,0.0,netral
77514,"Kualitas produk konsisten, harga masih masuk akal. Impedit dolorem corrupti voluptatem.",4.36,0.2,positif
68200,"Produk cukup baik, kadang waktu tunggu agak lama. Rem recusandae provident tempore nisi soluta.",4.37,0.0,netral
106860,Kadang stok kosong saat jam ramai. Sapiente sunt dolorum pariatur sunt.,4.38,0.0,netral
58096,"Pengiriman cepat, admin komunikatif. Impedit dolorum nulla necessitatibus vel unde.",4.52,0.55,positif
15473,"Kualitas produk konsisten, harga masih masuk akal. Sapiente praesentium explicabo ipsa labore cumque ab.",4.29,0.2,positif
82377,"Kualitas produk konsisten, harga masih masuk akal. Deserunt id inventore alias qui voluptatum nam.",5.0,0.2,positif
39829,"Produk cukup baik, kadang waktu tunggu agak lama. Ipsam nesciunt incidunt porro dolor.",3.76,0.0,netral
40736,"Pengiriman cepat, admin komunikatif. Impedit omnis aut perferendis natus laboriosam.",4.63,0.55,positif
67227,"Transaksi digital lancar, proses checkout tidak ribet. Incidunt quasi error harum cupiditate.",4.83,-0.25,negatif
147760,"Kualitas tidak konsisten, kadang bagus kadang kurang. Repudiandae molestiae commodi voluptas.",3.77,-0.25,negatif
