Ulasan
Pengiriman sangat lambat, barang telat sampai dan mengecewakan sekali.
Kualitas produk jelek sekali, tidak sesuai dengan ekspektasi saya.
Admin sangat lambat merespon chat, tidak komunikatif dan buruk.
Kemasan paket sangat tipis dan rusak saat sampai tujuan, kapok.
Harga mahal sekali tapi kualitas produk sangat buruk dan mengecewakan.
Proses pemesanan sangat ribet dan membingungkan, banyak masalah.
Stok barang sering kosong melulu, sangat mengecewakan pelanggan.
Sangat tidak puas dengan pelayanan toko ini, sangat lambat dan buruk.
Layanan tidak membaik sama sekali, respon admin lama sekali.
Kualitas produk menurun drastis, tidak sebanding dengan harganya.
Pengiriman terlambat jauh dari perkiraan, layanan mengecewakan.
Kemasannya kurang aman, barang jadi lecet dan tidak mulus.
Respon chat lambat sekali, pelayanan tidak ramah dan jutek.
Barang tidak sesuai dengan deskripsi dan foto, kecewa berat.
Sangat tidak merekomendasikan toko ini, pelayanannya sangat buruk.
Produk bermasalah dan tidak berfungsi normal, rugi belanja di sini.
Pengemasan lama sekali, pengiriman juga telat dan bermasalah.
Admin sangat tidak membantu, komplain diabaikan begitu saja.
Barang jelek dan tidak awet sama sekali, kecewa dengan kualitasnya.
Sangat tidak puas belanja di sini, prosesnya berbelit-belit.
Kualitas produk buruk, pelayanan lambat dan sangat mengecewakan.
Pengiriman lambat sekali, admin tidak ramah dan kurang sopan.
Kemasan rusak parah, isi paket lecet dan kualitas mengecewakan.
Produk tidak berkualitas, harga kemahalan dan layanan lambat.
Respon penjual sangat buruk, chat diabaikan berhari-hari.
Barang datang tidak lengkap, pelayanan toko mengecewakan sekali.
Sangat tidak puas dengan kualitas barang dan pelayanannya.
Pelayanan sangat buruk, produk bermasalah dan respon sangat lama.
Kualitas barang mengecewakan, tidak worth it dengan harga segitu.
Pengiriman bermasalah terus, barang telat sampai dan lecet.
Produknya jelek banget, layanan pelanggan sangat buruk sekali.
Sangat kecewa dengan kecepatan pengiriman dan respon lambat toko.
Kualitas produk tidak konsisten, pelayanan lambat dan tidak ramah.
Kemasan robek dan tidak aman, barang rusak saat mendarat.
Pelayanan toko sangat buruk dan mengecewakan, tidak direkomendasikan.
Barang tidak lengkap dan kurang memuaskan, pengiriman lambat.
Sangat menyesal belanja di toko ini, kualitas barang mengecewakan.
Produk bermasalah terus, pelayanan sangat lambat dan mengecewakan.
Admin lambat balas chat, pengiriman lama dan kemasan seadanya.
Sangat tidak puas, barang rusak dan seller tidak bertanggung jawab.
Pelayanan buruk dan tidak ramah, produk tidak sesuai deskripsi.
Kualitas produk sangat mengecewakan, pengemasan asal-asalan.
Barang datang sangat telat, kualitas produk buruk sekali.
Admin toko sangat tidak ramah dan slow respon, kapok belanja.
Sangat kecewa dengan produk rusak dan layanan yang lambat sekali.
Kualitas buruk sekali, pelayanan mengecewakan dan pengemasan tipis.
Kemasan hancur, produk lecet dan tidak berfungsi dengan baik.
Produk sangat mengecewakan, pelayanan seller sangat buruk sekali.
Sangat kapok belanja di sini, tidak memuaskan dan lambat.
Kualitas produk sangat rendah, pengiriman lambat dan bermasalah.
Barang mengecewakan, admin lambat respon dan tidak komunikatif.
Pelayanan toko tidak ramah dan respon admin lambat sekali.
Kemasan paket asal-asalan dan produknya mengecewakan sekali.
Sangat kecewa dengan pengiriman yang super lama dan barang lecet.
Produk tidak memuaskan, pelayanan buruk dan slow respon sekali.
Kualitas tidak terjaga, pelayanan tidak ramah dan tidak responsif.
Proses pemesanan lambat dan ribet, produk mengecewakan sekali.
Sangat tidak merekomendasikan produk ini, kualitasnya buruk banget.
Admin cuek dan lambat balas chat, pengiriman bermasalah terus.
Kemasan rusak dan tipis, produk mengecewakan dan tidak lengkap.
Kualitas buruk, pengiriman lambat sekali dan admin tidak sopan.
Sangat tidak puas belanja di toko ini, respon seller mengecewakan.
Produk mengecewakan sekali, pengiriman lambat dan pelayanan kasar.
Respon chat lambat sekali, pelayanan buruk dan tidak kooperatif.
Barang jelek banget, kemasan robek dan respon sangat mengecewakan.
Sangat tidak puas dengan pelayanan lambat dan produk bermasalah.
Kualitas mengecewakan, pengiriman terlambat dan kemasan seadanya.
Produk tidak berguna, pelayanan seller lambat dan tidak ramah.
Sangat kecewa dengan toko ini, respon sangat tidak memuaskan.
Kemasan rusak sekali, produk jelek dan tidak sesuai deskripsi.
Kualitas produk sangat buruk, pengiriman lambat dan kemasan tipis.
Admin toko kasar sekali, merespon komplain dengan tidak sopan.
Sangat kecewa dengan keterlambatan pengiriman dan barang yang cacat.
Produk sangat buruk, harga mahal tapi respon toko lambat.
Kemasan tipis dan robek, kualitas barang buruk dan mengecewakan.
Sangat kecewa dengan pelayanan yang buruk dan lambat balas chat.
Produk mengecewakan tidak sesuai foto, pengiriman lama sekali.
Kualitas buruk sekali, respon penjual lambat dan kemasan asal-asalan.
Pelayanan toko sangat buruk, produk dikirim salah ukuran.
Barang jelek sekali, pelayanan lambat dan seller tidak ramah.
Sangat kecewa belanja di toko ini, pelayanan lambat dan ribet.
Produk tidak berkualitas, pengemasan buruk dan respon chat lambat.
Admin sangat tidak membantu dan pelayanan mengecewakan sekali.
Kemasan robek dan basah, barang rusak saat sampai ke tangan saya.
Sangat menyesal membeli produk jelek dari toko tidak bertanggung jawab ini.
Pelayanan sangat lambat, produk mengecewakan dan tidak sesuai.
Kualitas produk buruk sekali, respon seller lambat dan tidak ramah.
Sangat kecewa dengan barang cacat dan pelayanan lambat yang didapat.
Produk jelek, kemasan tipis dan pengiriman super lambat.
Admin tidak ramah dan lambat merespon, barang mengecewakan.
Sangat tidak puas belanja di sini, pelayanan buruk sekali.
Kualitas produk menurun tajam, pengiriman lama dan bermasalah.
Kemasan asal-asalan, barang jelek, pelayanan lambat dan tidak ramah.
Sangat menyesal dan kecewa dengan toko ini karena pelayanannya buruk.
Produk mengecewakan, pengemasan tidak aman dan pengiriman lambat.
Admin tidak komunikatif dan lambat merespon, barang mengecewakan.
Sangat kecewa dengan respon penjual yang buruk dan barang jelek.
Kualitas produk sangat rendah, pengiriman lambat dan kemasan tipis.
Pelayanan toko sangat mengecewakan, produk rusak dan kapok beli lagi.
Sangat kecewa dengan kecepatan respon yang lambat dan kualitas buruk.
